ID,PRICE,LIVING_AREA,LOCATION
138462126,1.520.000 €,266 m²,"Sachsenhausen-Süd, Frankfurt am Main"
140121720,2.890.000 €,300 m²,"Dornbusch, Frankfurt am Main"
138780259,1.950.000 €,"193,47 m²","Sachsenhausen-Süd, Frankfurt am Main"
139675549,725.000 €,100 m²,"Praunheim, Frankfurt am Main"
140438709,auf Anfrage,336 m²,"Ginnheim, Frankfurt am Main"
140139440,1.500.000 €,170 m²,"Ostend, Frankfurt am Main"
140103931,795.000 €,142 m²,"Heddernheim, Frankfurt am Main"
141023126,600.000 €,240 m²,"Fechenheim, Frankfurt am Main"
140697992,899.000 €,"131,34 m²","Niederrad, Frankfurt am Main"
140426820,982.000 €,239 m²,"Seckbach, Frankfurt am Main"
140899352,1.950.000 €,"313,89 m²","Niederrad, Frankfurt am Main"
140932206,350.000 €,"63,68 m²","Auerhahnstraße 58, Griesheim, Frankfurt am Main"
140930696,350.000 €,"63,68 m²","Auerhahnstraße 60, Griesheim, Frankfurt am Main"
136648647,1.250.000 €,180 m²,"Bergen-Enkheim, Frankfurt am Main"
138577622,1.249.000 €,380 m²,"Oberrad, Frankfurt am Main"
138543449,729.000 €,301 m²,"Sindlingen, Frankfurt am Main"
141101989,759.000 €,153 m²,"Praunheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
140952128,710.000 €,272 m²,"Ludwig-Landmann-Straße X, Praunheim, Frankfurt am Main"
140952057,4.600.000 €,890 m²,"Wielandstraße X, Nordend-West, Frankfurt am Main"
138658129,629.000 €,100 m²,"Fechenheim, Frankfurt am Main"
134426303,4.000.000 €,595 m²,"Nordend-Ost, Frankfurt am Main"
139496763,699.000 €,162 m²,"Rödelheim, Frankfurt am Main"
139919381,1.350.000 €,175 m²,"Sachsenhausen-Süd, Frankfurt am Main"
140797589,670.000 €,106 m²,"Höchst, Frankfurt am Main"
139219486,349.000 €,"223,74 m²","Griesheim, Frankfurt am Main"
140186535,4.950.000 €,380 m²,"Westend-Süd, Frankfurt am Main"
138831732,790.000 €,110 m²,"Nieder-Eschbach, Frankfurt am Main"
136402019,1.850.000 €,191 m²,"Kalbach-Riedberg, Frankfurt am Main"
136402282,1.750.000 €,193 m²,"Kalbach-Riedberg, Frankfurt am Main"
139675712,1.150.000 €,250 m²,"Bergen-Enkheim, Frankfurt am Main"
137920254,1.187.000 €,"299,5 m²","Bergen-Enkheim, Frankfurt am Main"
136604711,1.495.000 €,"385,88 m²","Höchst, Frankfurt am Main"
140873436,890.000 €,"131,3 m²","Heddernheim, Frankfurt am Main"
130889575,3.495.000 €,550 m²,"Heddernheim, Frankfurt am Main"
