ID,PRICE,LIVING_AREA,LOCATION
143329163,2.850.000 €,261 m²,"Sachsenhausen-Nord, Frankfurt am Main"
143307438,1.420.000 €,164 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146042019,5.300.000 €,481 m²,"Westend-Süd, Frankfurt am Main"
138462126,1.520.000 €,266 m²,"Sachsenhausen-Süd, Frankfurt am Main"
141564060,2.200.000 €,436 m²,"Bockenheim, Frankfurt am Main"
146432093,1.980.000 €,177 m²,"Sachsenhausen-Süd, Frankfurt am Main"
144335444,1.360.000 €,189 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146436434,3.950.000 €,"367,58 m²","Dornbusch, Frankfurt am Main"
145570112,1.200.000 €,225 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146410838,2.350.000 €,256 m²,"Dornbusch, Frankfurt am Main"
141212690,auf Anfrage,"422,02 m²","Wilhelm-Beer-Weg 117A, Sachsenhausen-Süd, Frankfurt am Main"
144746390,675.000 €,185 m²,"Preungesheim, Frankfurt am Main"
143549320,2.950.000 €,517 m²,"Heddernheim, Frankfurt am Main"
141806756,1.250.000 €,"263,13 m²","Praunheim, Frankfurt am Main"
146143008,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
144913839,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
145717603,639.000 €,110 m²,"Eschersheim, Frankfurt am Main"
144761675,990.000 €,278 m²,"Eschersheim, Frankfurt am Main"
145823432,399.000 €,64 m²,"Griesheim, Frankfurt am Main"
141755140,654.000 €,160 m²,"Bergen-Enkheim, Frankfurt am Main"
136648647,1.250.000 €,180 m²,"Bergen-Enkheim, Frankfurt am Main"
146027721,875.000 €,108 m²,"Kalbach-Riedberg, Frankfurt am Main"
141640501,1.100.000 €,"142,18 m²","Nied, Frankfurt am Main"
146167787,845.000 €,158 m²,"Neu-Isenburg, Offenbach (Kreis)"
