ID,PRICE,LIVING_AREA,LOCATION
143329163,2.850.000 €,261 m²,"Sachsenhausen-Nord, Frankfurt am Main"
147512612,2.330.000 €,"169,28 m²","Nordend-West, Frankfurt am Main"
138462126,1.520.000 €,266 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146899260,1.190.000 €,164 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146436434,3.950.000 €,"367,58 m²","Dornbusch, Frankfurt am Main"
147270146,1.250.000 €,189 m²,"Sachsenhausen-Süd, Frankfurt am Main"
147540418,950.000 €,173 m²,"Ginnheim, Frankfurt am Main"
146410838,2.350.000 €,256 m²,"Dornbusch, Frankfurt am Main"
146143008,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
144913839,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
144761675,990.000 €,278 m²,"Eschersheim, Frankfurt am Main"
147169746,2.199.900 €,"651,72 m²","Neu-Isenburg, Offenbach (Kreis)"
145823432,399.000 €,64 m²,"Griesheim, Frankfurt am Main"
147613962,1.572.000 €,890 m²,"Bergen-Enkheim, Frankfurt am Main"
147088733,995.000 €,180 m²,"Bergen-Enkheim, Frankfurt am Main"
146027721,875.000 €,108 m²,"Kalbach-Riedberg, Frankfurt am Main"
147157714,795.000 €,158 m²,"Neu-Isenburg, Offenbach (Kreis)"
147217722,1.179.000 €,"293,47 m²","Bad Vilbel, Wetteraukreis"
138750002,598.000 €,"144,7 m²","Jahnstraße 37D, Bürgel, Offenbach am Main"
138195396,985.000 €,"121,8 m²","Bad Vilbel, Wetteraukreis"
147126827,650.000 €,218 m²,"Sossenheim, Frankfurt am Main"
147189736,685.000 €,"332,15 m²","Maintal, Main-Kinzig-Kreis"
146067379,1.000.000 €,160 m²,"Höchst, Frankfurt am Main"
145379923,1.190.000 €,138 m²,"Falkenweg 17, Kalbach-Riedberg, Frankfurt am Main"
131861820,689.000 €,210 m²,"Maintal, Main-Kinzig-Kreis"
147548451,1.900.000 €,344 m²,"Wingertstraße xx, Steinbach (Taunus), Hochtaunuskreis"
146284609,2.580.000 €,214 m²,"Dreieich, Offenbach (Kreis)"
145823417,498.000 €,115 m²,"Unterliederbach, Frankfurt am Main"
147622478,585.000 €,"173,9 m²","Dreieich, Offenbach (Kreis)"
147161533,498.000 €,173 m²,"Heusenstamm, Offenbach (Kreis)"
145032353,2.080.000 €,325 m²,"Dreieich, Offenbach (Kreis)"
147413113,831.000 €,186 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
147596760,390.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
145701338,390.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
145957286,750.000 €,200 m²,"Sindlingen, Frankfurt am Main"
145420653,750.000 €,200 m²,"Sindlingen, Frankfurt am Main"
143575171,360.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
147461159,2.250.000 €,287 m²,"Dreieich, Offenbach (Kreis)"
144173942,698.000 €,194 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
147585438,1.580.000 €,140 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
143576082,999.900 €,140 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
145812673,731.400 €,"156,39 m²","Ada-Lovelance-Straße 23, Langen (Hessen), Offenbach (Kreis)"
146275898,385.000 €,109 m²,"Zeilsheim, Frankfurt am Main"
147249943,425.000 €,"133,24 m²","Obertshausen, Offenbach (Kreis)"
147271801,auf Anfrage,2.787 m²,"Dietzenbach, Offenbach (Kreis)"
