ID,PRICE,LIVING_AREA,LOCATION
147397305,849.000 €,177 m²,"Am Hainpark 76, Nordenstadt, Wiesbaden"
145384110,880.000 €,149 m²,"Apfelweg 36, Nordenstadt, Wiesbaden"
146432093,1.980.000 €,177 m²,"Sachsenhausen-Süd, Frankfurt am Main"
145753396,1.700.000 €,204 m²,"Bockenheim, Frankfurt am Main"
147794481,3.150.000 €,"362,5 m²","Sachsenhausen-Süd, Frankfurt am Main"
147270146,1.250.000 €,189 m²,"Sachsenhausen-Süd, Frankfurt am Main"
147437562,2.170.000 €,217 m²,"Dornbusch, Frankfurt am Main"
147540418,950.000 €,173 m²,"Ginnheim, Frankfurt am Main"
147188598,1.150.000 €,"135,76 m²","Eschersheim, Frankfurt am Main"
147747854,2.295.000 €,336 m²,"Ginnheim, Frankfurt am Main"
144217024,1.498.000 €,275 m²,"Eschersheim, Frankfurt am Main"
141806756,1.050.000 €,"263,13 m²","Praunheim, Frankfurt am Main"
146143008,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
144913839,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
144761675,990.000 €,278 m²,"Eschersheim, Frankfurt am Main"
145823432,399.000 €,64 m²,"Griesheim, Frankfurt am Main"
147613962,1.572.000 €,890 m²,"Bergen-Enkheim, Frankfurt am Main"
146027721,875.000 €,108 m²,"Kalbach-Riedberg, Frankfurt am Main"
146275229,645.000 €,153 m²,"Tempelsee, Offenbach am Main"
146097039,1.150.000 €,180 m²,"Nidderauer Straße 8, Bergen-Enkheim, Frankfurt am Main"
147799106,1.179.000 €,"293,47 m²","Bad Vilbel, Wetteraukreis"
138750002,598.000 €,"144,7 m²","Jahnstraße 37D, Bürgel, Offenbach am Main"
138195396,985.000 €,"121,8 m²","Bad Vilbel, Wetteraukreis"
147126827,650.000 €,218 m²,"Sossenheim, Frankfurt am Main"
147835852,1.850.000 €,450 m²,"Nieder-Eschbach, Frankfurt am Main"
142367235,998.000 €,"292,11 m²","Im Kirschenwäldchen 2G, Kalbach-Riedberg, Frankfurt am Main"
146067379,1.000.000 €,160 m²,"Höchst, Frankfurt am Main"
145379923,1.190.000 €,138 m²,"Falkenweg 17, Kalbach-Riedberg, Frankfurt am Main"
131861820,550.000 €,210 m²,"Maintal, Main-Kinzig-Kreis"
147827984,2.580.000 €,214 m²,"Dreieich, Offenbach (Kreis)"
147680953,920.000 €,85 m²,"Dreieich, Offenbach (Kreis)"
147809075,549.000 €,158 m²,"Heusenstamm, Offenbach (Kreis)"
146225181,1.295.000 €,401 m²,"Schwalbach am Taunus, Main-Taunus-Kreis"
143347682,759.000 €,184 m²,"Heusenstamm, Offenbach (Kreis)"
147622478,585.000 €,"173,9 m²","Dreieich, Offenbach (Kreis)"
145032353,2.080.000 €,325 m²,"Dreieich, Offenbach (Kreis)"
147413113,831.000 €,186 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
147596760,390.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
144508372,679.000 €,130 m²,"Dreieich, Offenbach (Kreis)"
145701338,390.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
143575171,360.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
147461159,2.250.000 €,287 m²,"Dreieich, Offenbach (Kreis)"
147585438,1.580.000 €,140 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
147199724,999.900 €,140 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
145812673,731.400 €,"156,39 m²","Ada-Lovelance-Straße 23, Langen (Hessen), Offenbach (Kreis)"
147578278,699.000 €,"156,39 m²","Alte-Römer-Straße 22, Langen (Hessen), Offenbach (Kreis)"
147753046,589.000 €,154 m²,"Langen (Hessen), Offenbach (Kreis)"
147710986,1.333.000 €,272 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
137729304,590.000 €,250 m²,"Liederbach am Taunus, Main-Taunus-Kreis"
142667366,780.000 €,803 m²,"Langen (Hessen), Offenbach (Kreis)"
147545214,680.000 €,188 m²,"Karben, Wetteraukreis"
147544684,599.000 €,"98,76 m²","Am Wasserturm 6, Mörfelden-Walldorf, Groß-Gerau (Kreis)"
141609755,449.000 €,140 m²,"Schöneck, Main-Kinzig-Kreis"
147733183,2.280.000 €,202 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
145591024,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
142799525,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
140981861,631.500 €,"135,5 m²","Steinheim, Hanau"
147115299,1.150.000 €,215 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
147384384,779.000 €,280 m²,"Schöneck, Main-Kinzig-Kreis"
145154318,2.400.000 €,264 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
147621371,639.000 €,"131,11 m²","Mittelbuchen, Hanau"
147833891,749.000 €,265 m²,"Rodgau, Offenbach (Kreis)"
139788074,1.298.000 €,"195,04 m²","Hofheim am Taunus, Main-Taunus-Kreis"
127465494,1.195.000 €,"322,51 m²","Rosbach vor der Höhe, Wetteraukreis"
146262976,1.790.000 €,"362,5 m²","Königstein im Taunus, Hochtaunuskreis"
146091541,auf Anfrage,840 m²,"Innenstadt, Hanau"
147515726,705.000 €,189 m²,"Mittelbuchen, Hanau"
144722781,920.000 €,260 m²,"Königstein im Taunus, Hochtaunuskreis"
147727872,650.000 €,160 m²,"Mörfelden-Walldorf, Groß-Gerau (Kreis)"
146783047,590.000 €,173 m²,"Rödermark, Offenbach (Kreis)"
146214378,589.000 €,197 m²,"Am Kirchberg 22, Mittelbuchen, Hanau"
144419812,580.000 €,"166,6 m²","Friedrichsdorf, Hochtaunuskreis"
144419764,580.000 €,"166,6 m²","Friedrichsdorf, Hochtaunuskreis"
145256916,469.000 €,186 m²,"Rödermark, Offenbach (Kreis)"
146136980,939.900 €,184 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
147696118,559.000 €,138 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
147677761,855.000 €,303 m²,"Hainburg, Offenbach (Kreis)"
142846356,424.000 €,134 m²,"Rödermark, Offenbach (Kreis)"
147637406,529.000 €,"186,11 m²","Niddatal, Wetteraukreis"
137496732,450.000 €,234 m²,"Bruchköbel, Main-Kinzig-Kreis"
132612315,529.500 €,132 m²,"Hainburg, Offenbach (Kreis)"
147220895,1.790.000 €,330 m²,"Eppstein, Main-Taunus-Kreis"
135401967,599.900 €,141 m²,"Außerhalb 11, Messel, Darmstadt-Dieburg (Kreis)"
147210386,498.500 €,150 m²,"Eppstein, Main-Taunus-Kreis"
145431076,2.000.000 €,250 m²,"Rosbach vor der Höhe, Wetteraukreis"
134768799,780.000 €,"204,38 m²","Eppstein, Main-Taunus-Kreis"
