ID,PRICE,LIVING_AREA,LOCATION
145165549,8.000.000 €,517 m²,"Fahrtor 1, Altstadt, Frankfurt am Main"
143329163,2.850.000 €,261 m²,"Sachsenhausen-Nord, Frankfurt am Main"
136796100,2.950.000 €,514 m²,"Nordend-West, Frankfurt am Main"
145655885,5.800.000 €,481 m²,"Westend-Süd, Frankfurt am Main"
141986474,2.250.000 €,316 m²,"Sachsenhausen-Süd, Frankfurt am Main"
144335444,1.360.000 €,189 m²,"Sachsenhausen-Süd, Frankfurt am Main"
145122247,699.000 €,140 m²,"Oberrad, Frankfurt am Main"
143480996,8.650.000 €,1.191 m²,"Niederrad, Frankfurt am Main"
145658403,2.989.000 €,559 m²,"Dornbusch, Frankfurt am Main"
144986781,2.980.000 €,256 m²,"Dornbusch, Frankfurt am Main"
142623903,899.000 €,"131,34 m²","Niederrad, Frankfurt am Main"
144746390,750.000 €,185 m²,"Preungesheim, Frankfurt am Main"
137215727,460.000 €,100 m²,"Fechenheim, Frankfurt am Main"
145042166,369.000 €,81 m²,"Schwanheim, Frankfurt am Main"
145122354,680.000 €,"146,22 m²","Praunheim, Frankfurt am Main"
144913839,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
144761675,990.000 €,278 m²,"Eschersheim, Frankfurt am Main"
145823432,399.000 €,64 m²,"Griesheim, Frankfurt am Main"
145826162,797.000 €,251 m²,"Lauterborn, Offenbach am Main"
145799250,389.000 €,107 m²,"Schwanheim, Frankfurt am Main"
145748851,275.000 €,"63,68 m²","Auerhahnstraße 58, Griesheim, Frankfurt am Main"
145748677,275.000 €,"63,68 m²","Auerhahnstraße 60, Griesheim, Frankfurt am Main"
145749106,275.000 €,"63,68 m²","Auerhahnstraße 134, Griesheim, Frankfurt am Main"
145749110,275.000 €,"63,68 m²","Auerhahnstraße 136, Griesheim, Frankfurt am Main"
136648647,1.250.000 €,180 m²,"Bergen-Enkheim, Frankfurt am Main"
143406901,1.295.000 €,"153,07 m²","Kalbach-Riedberg, Frankfurt am Main"
142373203,1.500.000 €,255 m²,"Neu-Isenburg, Offenbach (Kreis)"
144510148,725.000 €,221 m²,"Bonames, Frankfurt am Main"
142130794,1.085.000 €,"160,63 m²","Bonames, Frankfurt am Main"
145257984,1.500.000 €,268 m²,"Harheim, Frankfurt am Main"
145250996,780.000 €,200 m²,"Heusenstamm, Offenbach (Kreis)"
142367235,1.150.000 €,"292,11 m²","Im Kirschenwäldchen 2G, Kalbach-Riedberg, Frankfurt am Main"
143844861,1.960.000 €,"235,66 m²","Dreieich, Offenbach (Kreis)"
145042047,885.000 €,224 m²,"Heusenstamm, Offenbach (Kreis)"
145258909,899.000 €,238 m²,"Dreieich, Offenbach (Kreis)"
143480011,2.470.000 €,195 m²,"Dreieich, Offenbach (Kreis)"
145379923,1.190.000 €,138 m²,"Falkenweg 17, Kalbach-Riedberg, Frankfurt am Main"
143709472,990.000 €,209 m²,"Unterliederbach, Frankfurt am Main"
145755659,2.250.000 €,340 m²,"Jägerweg 10, Dreieich, Offenbach (Kreis)"
144478060,auf Anfrage,366 m²,"Dreieich, Offenbach (Kreis)"
141084574,1.200.000 €,440 m²,"Nieder-Erlenbach, Frankfurt am Main"
145654539,625.000 €,134 m²,"Unterliederbach, Frankfurt am Main"
145153394,590.000 €,127 m²,"Unterliederbach, Frankfurt am Main"
145823417,498.000 €,115 m²,"Unterliederbach, Frankfurt am Main"
145032353,2.080.000 €,325 m²,"Dreieich, Offenbach (Kreis)"
145748882,895.000 €,159 m²,"Sulzbach (Taunus), Main-Taunus-Kreis"
144603325,2.350.000 €,597 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
143798217,650.000 €,154 m²,"Dietzenbach, Offenbach (Kreis)"
144591473,675.000 €,104 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
145686320,597.000 €,145 m²,"Bieber, Offenbach am Main"
145420653,830.000 €,200 m²,"Sindlingen, Frankfurt am Main"
143575171,360.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
145405623,990.000 €,163 m²,"Kronberg im Taunus, Hochtaunuskreis"
145636827,599.000 €,150 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
144419517,1.315.000 €,220 m²,"Oberursel (Taunus), Hochtaunuskreis"
144419442,1.315.000 €,220 m²,"Oberursel (Taunus), Hochtaunuskreis"
145815773,629.000 €,154 m²,"Langen (Hessen), Offenbach (Kreis)"
143576082,999.900 €,140 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
143525387,699.000 €,165 m²,"Zeilsheim, Frankfurt am Main"
144730096,731.400 €,"156,39 m²","Ada-Lovelance-Straße 19, Langen (Hessen), Offenbach (Kreis)"
144663461,3.400.000 €,690 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
139466279,3.300.000 €,580 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
145133896,425.000 €,"145,89 m²","Obertshausen, Offenbach (Kreis)"
145758251,689.000 €,228 m²,"Dietzenbach, Offenbach (Kreis)"
143196862,474.900 €,128 m²,"Dietzenbach, Offenbach (Kreis)"
143524394,579.000 €,140 m²,"Hattersheim am Main, Main-Taunus-Kreis"
145731853,4.490.000 €,435 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
142789368,679.500 €,"157,5 m²","Hattersheim am Main, Main-Taunus-Kreis"
145546084,998.000 €,218 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
144093915,799.000 €,188 m²,"Karben, Wetteraukreis"
140808548,429.000 €,85 m²,"Kriftel, Main-Taunus-Kreis"
143463778,1.198.000 €,"158,9 m²","Bad Homburg vor der Höhe, Hochtaunuskreis"
145083034,825.000 €,"186,05 m²","Dreieich, Offenbach (Kreis)"
141711220,625.000 €,165 m²,"Dreieich, Offenbach (Kreis)"
141609755,490.000 €,140 m²,"Schöneck, Main-Kinzig-Kreis"
145591024,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
142799525,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
140981861,631.500 €,"135,5 m²","Steinheim, Hanau"
144154388,1.150.000 €,215 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
145805804,789.000 €,280 m²,"Schöneck, Main-Kinzig-Kreis"
144589335,585.000 €,167 m²,"Egelsbach, Offenbach (Kreis)"
145154318,2.400.000 €,260 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
134642001,747.000 €,153 m²,"Heilighäuser Ring 25, Karben, Wetteraukreis"
139788074,1.298.000 €,"195,04 m²","Hofheim am Taunus, Main-Taunus-Kreis"
143603086,649.000 €,197 m²,"Mittelbuchen, Hanau"
145456931,998.000 €,153 m²,"Königstein im Taunus, Hochtaunuskreis"
145732109,2.980.000 €,412 m²,"Friedrichsdorf, Hochtaunuskreis"
