ID,PRICE,LIVING_AREA,LOCATION
143329163,2.850.000 €,261 m²,"Sachsenhausen-Nord, Frankfurt am Main"
147512612,2.330.000 €,"169,28 m²","Nordend-West, Frankfurt am Main"
138462126,1.520.000 €,266 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146899260,1.190.000 €,164 m²,"Sachsenhausen-Süd, Frankfurt am Main"
146436434,3.950.000 €,"367,58 m²","Dornbusch, Frankfurt am Main"
147270146,1.250.000 €,189 m²,"Sachsenhausen-Süd, Frankfurt am Main"
147540418,950.000 €,173 m²,"Ginnheim, Frankfurt am Main"
146410838,2.350.000 €,256 m²,"Dornbusch, Frankfurt am Main"
147747854,auf Anfrage,336 m²,"Ginnheim, Frankfurt am Main"
141806756,1.050.000 €,"263,13 m²","Praunheim, Frankfurt am Main"
146143008,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
144913839,1.350.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
144761675,990.000 €,278 m²,"Eschersheim, Frankfurt am Main"
145823432,399.000 €,64 m²,"Griesheim, Frankfurt am Main"
147613962,1.572.000 €,890 m²,"Bergen-Enkheim, Frankfurt am Main"
146027721,875.000 €,108 m²,"Kalbach-Riedberg, Frankfurt am Main"
146275229,645.000 €,153 m²,"Tempelsee, Offenbach am Main"
146097039,1.150.000 €,180 m²,"Nidderauer Straße 8, Bergen-Enkheim, Frankfurt am Main"
147217722,1.179.000 €,"293,47 m²","Bad Vilbel, Wetteraukreis"
138750002,598.000 €,"144,7 m²","Jahnstraße 37D, Bürgel, Offenbach am Main"
138195396,985.000 €,"121,8 m²","Bad Vilbel, Wetteraukreis"
147126827,650.000 €,218 m²,"Sossenheim, Frankfurt am Main"
142367235,998.000 €,"292,11 m²","Im Kirschenwäldchen 2G, Kalbach-Riedberg, Frankfurt am Main"
146067379,1.000.000 €,160 m²,"Höchst, Frankfurt am Main"
145379923,1.190.000 €,138 m²,"Falkenweg 17, Kalbach-Riedberg, Frankfurt am Main"
131861820,550.000 €,210 m²,"Maintal, Main-Kinzig-Kreis"
147548451,1.900.000 €,344 m²,"Wingertstraße xx, Steinbach (Taunus), Hochtaunuskreis"
146284609,2.580.000 €,214 m²,"Dreieich, Offenbach (Kreis)"
147680953,920.000 €,85 m²,"Dreieich, Offenbach (Kreis)"
145823417,498.000 €,115 m²,"Unterliederbach, Frankfurt am Main"
143347682,759.000 €,184 m²,"Heusenstamm, Offenbach (Kreis)"
147622478,585.000 €,"173,9 m²","Dreieich, Offenbach (Kreis)"
145032353,2.080.000 €,325 m²,"Dreieich, Offenbach (Kreis)"
147413113,831.000 €,186 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
147596760,390.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
144508372,679.000 €,130 m²,"Dreieich, Offenbach (Kreis)"
145701338,390.000 €,138 m²,"Oberursel (Taunus), Hochtaunuskreis"
147461159,2.250.000 €,287 m²,"Dreieich, Offenbach (Kreis)"
144173942,698.000 €,194 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
145812673,731.400 €,"156,39 m²","Ada-Lovelance-Straße 23, Langen (Hessen), Offenbach (Kreis)"
147578278,699.000 €,"156,39 m²","Alte-Römer-Straße 22, Langen (Hessen), Offenbach (Kreis)"
146275898,385.000 €,109 m²,"Zeilsheim, Frankfurt am Main"
147753046,589.000 €,154 m²,"Langen (Hessen), Offenbach (Kreis)"
