ID,PRICE,LIVING_AREA,LOCATION
145165549,8.000.000 €,517 m²,"Fahrtor 1, Altstadt, Frankfurt am Main"
143750093,3.700.000 €,373 m²,"Westend-Süd, Frankfurt am Main"
143307438,1.420.000 €,164 m²,"Sachsenhausen-Süd, Frankfurt am Main"
144772587,4.580.000 €,270 m²,"Nordend-West, Frankfurt am Main"
138462126,1.520.000 €,266 m²,"Sachsenhausen-Süd, Frankfurt am Main"
144432685,1.285.000 €,"312,64 m²","Bornheim, Frankfurt am Main"
142480433,1.850.000 €,204 m²,"Bockenheim, Frankfurt am Main"
145141586,2.040.000 €,372 m²,"Schleiermacherstraße XXXX, Nordend-Ost, Frankfurt am Main"
143284829,4.200.000 €,"367,58 m²","Dornbusch, Frankfurt am Main"
145122247,699.000 €,140 m²,"Oberrad, Frankfurt am Main"
144986781,2.980.000 €,256 m²,"Dornbusch, Frankfurt am Main"
140902003,2.500.000 €,618 m²,"Hausen, Frankfurt am Main"
143474528,7.750.000 €,800 m²,"Lerchersbergring 86a, Sachsenhausen-Süd, Frankfurt am Main"
141134770,1.390.000 €,"402,04 m²","Eckenheim, Frankfurt am Main"
142623903,899.000 €,"131,34 m²","Niederrad, Frankfurt am Main"
144773071,869.000 €,"162,37 m²","Eckenheim, Frankfurt am Main"
144746390,750.000 €,185 m²,"Preungesheim, Frankfurt am Main"
137215727,460.000 €,100 m²,"Fechenheim, Frankfurt am Main"
145042166,369.000 €,81 m²,"Schwanheim, Frankfurt am Main"
142539975,460.000 €,100 m²,"Fechenheim, Frankfurt am Main"
143549320,2.950.000 €,517 m²,"Heddernheim, Frankfurt am Main"
145122354,680.000 €,"146,22 m²","Praunheim, Frankfurt am Main"
144913839,1.330.000 €,218 m²,"Bergen-Enkheim, Frankfurt am Main"
140817690,700.000 €,"172,52 m²","Fechenheim, Frankfurt am Main"
144761675,990.000 €,278 m²,"Eschersheim, Frankfurt am Main"
144538145,1.200.000 €,"192,6 m²","Bergen-Enkheim, Frankfurt am Main"
136648647,1.250.000 €,180 m²,"Bergen-Enkheim, Frankfurt am Main"
143526761,350.000 €,130 m²,"Tempelsee, Offenbach am Main"
143406901,1.295.000 €,"153,07 m²","Kalbach-Riedberg, Frankfurt am Main"
144510148,725.000 €,221 m²,"Bonames, Frankfurt am Main"
142130794,1.085.000 €,"160,63 m²","Bonames, Frankfurt am Main"
138750002,598.000 €,"144,7 m²","Jahnstraße 37D, Bürgel, Offenbach am Main"
145257984,1.650.000 €,268 m²,"Harheim, Frankfurt am Main"
140610952,615.000 €,"103,5 m²","Bonames, Frankfurt am Main"
142367235,1.150.000 €,"292,11 m²","Im Kirschenwäldchen 2G, Kalbach-Riedberg, Frankfurt am Main"
143844861,1.960.000 €,"235,66 m²","Dreieich, Offenbach (Kreis)"
145042047,885.000 €,224 m²,"Heusenstamm, Offenbach (Kreis)"
145258909,899.000 €,238 m²,"Dreieich, Offenbach (Kreis)"
143480011,2.470.000 €,195 m²,"Dreieich, Offenbach (Kreis)"
143709472,990.000 €,209 m²,"Unterliederbach, Frankfurt am Main"
144478060,auf Anfrage,366 m²,"Dreieich, Offenbach (Kreis)"
141084574,1.200.000 €,440 m²,"Nieder-Erlenbach, Frankfurt am Main"
143481775,1.095.000 €,240 m²,"Dreieich, Offenbach (Kreis)"
138097962,690.000 €,225 m²,"Oberursel (Taunus), Hochtaunuskreis"
145032353,2.080.000 €,325 m²,"Dreieich, Offenbach (Kreis)"
143798217,650.000 €,154 m²,"Dietzenbach, Offenbach (Kreis)"
144393680,1.049.000 €,324 m²,"Obertshausen, Offenbach (Kreis)"
145157736,499.000 €,"129,12 m²","Bad Homburg vor der Höhe, Hochtaunuskreis"
144419517,1.315.000 €,220 m²,"Oberursel (Taunus), Hochtaunuskreis"
144419442,1.315.000 €,220 m²,"Oberursel (Taunus), Hochtaunuskreis"
144503726,610.000 €,170 m²,"Am Pfarrhof X, Maintal, Main-Kinzig-Kreis"
140390262,449.000 €,100 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
144816565,629.000 €,154 m²,"Langen (Hessen), Offenbach (Kreis)"
143576082,999.900 €,140 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
144663461,3.400.000 €,690 m²,"Bad Soden am Taunus, Main-Taunus-Kreis"
139466279,3.300.000 €,580 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
145133896,425.000 €,"145,89 m²","Obertshausen, Offenbach (Kreis)"
144662563,690.000 €,164 m²,"Mörfelden-Walldorf, Groß-Gerau (Kreis)"
143592418,4.220.000 €,352 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
143524394,579.000 €,140 m²,"Hattersheim am Main, Main-Taunus-Kreis"
144775185,1.350.000 €,275 m²,"Karben, Wetteraukreis"
139895638,735.000 €,153 m²,"Oberursel (Taunus), Hochtaunuskreis"
143522125,849.000 €,154 m²,"Hattersheim am Main, Main-Taunus-Kreis"
144093915,799.000 €,188 m²,"Karben, Wetteraukreis"
140808548,429.000 €,85 m²,"Kriftel, Main-Taunus-Kreis"
143463778,1.198.000 €,"158,9 m²","Bad Homburg vor der Höhe, Hochtaunuskreis"
141711220,625.000 €,165 m²,"Dreieich, Offenbach (Kreis)"
141609755,490.000 €,140 m²,"Schöneck, Main-Kinzig-Kreis"
142799525,1.090.000 €,"267,91 m²","Schöneck, Main-Kinzig-Kreis"
140981861,631.500 €,"135,5 m²","Steinheim, Hanau"
144154388,1.150.000 €,215 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
145154318,2.400.000 €,260 m²,"Bad Homburg vor der Höhe, Hochtaunuskreis"
143626404,1.680.000 €,220 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
144493715,1.090.000 €,418 m²,"Mittelbuchen, Hanau"
143603086,649.000 €,197 m²,"Mittelbuchen, Hanau"
144722781,920.000 €,260 m²,"Königstein im Taunus, Hochtaunuskreis"
143194097,1.389.000 €,"183,5 m²","Hofheim am Taunus, Main-Taunus-Kreis"
143656024,650.000 €,160 m²,"Mörfelden-Walldorf, Groß-Gerau (Kreis)"
144503421,260.000 €,"71,81 m²","Windecker Straße X, Nordwest, Hanau"
144829620,449.000 €,90 m²,"Chattenstraße x, Hofheim am Taunus, Main-Taunus-Kreis"
144419812,640.000 €,"166,6 m²","Friedrichsdorf, Hochtaunuskreis"
144419764,640.000 €,"166,6 m²","Friedrichsdorf, Hochtaunuskreis"
140898597,549.000 €,225 m²,"Rödermark, Offenbach (Kreis)"
136969440,1.090.000 €,200 m²,"Groß-Auheim, Hanau"
145156790,920.000 €,303 m²,"Hainburg, Offenbach (Kreis)"
142840881,515.000 €,146 m²,"Hainburg, Offenbach (Kreis)"
141543528,599.000 €,145 m²,"Nidderau, Main-Kinzig-Kreis"
142656100,890.000 €,150 m²,"Kelkheim (Taunus), Main-Taunus-Kreis"
134768799,865.000 €,"204,38 m²","Eppstein, Main-Taunus-Kreis"
144597176,1.550.000 €,260 m²,"Breckenheim, Wiesbaden"
144481980,auf Anfrage,230 m²,"Schmitten, Hochtaunuskreis"
141158983,844.850 €,187 m²,"Rüsselsheim am Main, Groß-Gerau (Kreis)"
144567868,649.000 €,365 m²,"Nidderau, Main-Kinzig-Kreis"
143299582,769.000 €,200 m²,"Rüsselsheim am Main, Groß-Gerau (Kreis)"
144824321,399.000 €,"216,97 m²","Nidderau, Main-Kinzig-Kreis"
143180219,219.000 €,140 m²,"Neuberg, Main-Kinzig-Kreis"
142808116,949.000 €,500 m²,"Weiterstadt, Darmstadt-Dieburg (Kreis)"
142789160,99.000 €,"54,22 m²","Schmitten, Hochtaunuskreis"
144989486,549.000 €,144 m²,"Weiterstadt, Darmstadt-Dieburg (Kreis)"
142378334,485.000 €,"160,5 m²","Kahl am Main, Aschaffenburg (Kreis)"
142519337,640.000 €,"118,5 m²","Weiterstadt, Darmstadt-Dieburg (Kreis)"
143980477,400.000 €,160 m²,"Schmitten, Hochtaunuskreis"
145384237,650.000 €,296 m²,"Neuberg, Main-Kinzig-Kreis"
144424067,390.000 €,"181,07 m²","Eppstein, Main-Taunus-Kreis"
131027637,558.200 €,"122,6 m²","Büttelborn, Groß-Gerau (Kreis)"
144172341,479.000 €,146 m²,"Büttelborn, Groß-Gerau (Kreis)"
142654998,479.000 €,146 m²,"Büttelborn, Groß-Gerau (Kreis)"
144683212,499.900 €,141 m²,"Rodenbach, Main-Kinzig-Kreis"
136479578,857.879 €,217 m²,"Friedberg (Hessen), Wetteraukreis"
140255145,697.068 €,242 m²,"Schmitten, Hochtaunuskreis"
145027165,598.500 €,183 m²,"Neu-Anspach, Hochtaunuskreis"
145154788,550.000 €,130 m²,"Neu-Anspach, Hochtaunuskreis"
138823180,580.000 €,"128,16 m²","Friedberg (Hessen), Wetteraukreis"
145383121,639.000 €,"191,79 m²","Hochheim am Main, Main-Taunus-Kreis"
143856154,535.000 €,"120,54 m²","Neu-Anspach, Hochtaunuskreis"
143163085,595.000 €,140 m²,"Hammersbach, Main-Kinzig-Kreis"
134676097,499.000 €,"209,23 m²","Friedberg (Hessen), Wetteraukreis"
133461933,864.000 €,"166,83 m²","Hospitalgasse 8a, Friedberg (Hessen), Wetteraukreis"
143666266,649.000 €,147 m²,"Rüsselsheim am Main, Groß-Gerau (Kreis)"
142402793,659.000 €,420 m²,"Dieburg, Darmstadt-Dieburg (Kreis)"
143427618,450.000 €,190 m²,"Altenstadt, Wetteraukreis"
143474412,609.000 €,175 m²,"Naurod, Wiesbaden"
144308605,275.000 €,120 m²,"Groß-Gerau, Groß-Gerau (Kreis)"
144154296,575.000 €,220 m²,"Florstadt, Wetteraukreis"
136419556,495.000 €,160 m²,"Usingen, Hochtaunuskreis"
143585588,539.000 €,141 m²,"Bischofsheim, Groß-Gerau (Kreis)"
133587468,699.000 €,160 m²,"Brunnenstraße 83A, Rüsselsheim am Main, Groß-Gerau (Kreis)"
144435456,798.000 €,168 m²,"Bischofsheim, Groß-Gerau (Kreis)"
145149662,749.000 €,"288,06 m²","Groß-Gerau, Groß-Gerau (Kreis)"
134455814,649.500 €,134 m²,"Griesheim, Darmstadt-Dieburg (Kreis)"
144745064,552.000 €,145 m²,"Karlstein am Main, Aschaffenburg (Kreis)"
